"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","NODA","TOT","PC_GNI","A","2000",0.25473,
"CAN","NODA","TOT","PC_GNI","A","2001",0.217287,
"CAN","NODA","TOT","PC_GNI","A","2002",0.279057,
"CAN","NODA","TOT","PC_GNI","A","2003",0.237891,
"CAN","NODA","TOT","PC_GNI","A","2004",0.267804,
"CAN","NODA","TOT","PC_GNI","A","2005",0.337461,
"CAN","NODA","TOT","PC_GNI","A","2006",0.293758,
"CAN","NODA","TOT","PC_GNI","A","2007",0.289394,
"CAN","NODA","TOT","PC_GNI","A","2008",0.325411,
"CAN","NODA","TOT","PC_GNI","A","2009",0.303097,
"CAN","NODA","TOT","PC_GNI","A","2010",0.336482,
"CAN","NODA","TOT","PC_GNI","A","2011",0.319693,
"CAN","NODA","TOT","PC_GNI","A","2012",0.315871,
"CAN","NODA","TOT","PC_GNI","A","2013",0.274978,
"CAN","NODA","TOT","PC_GNI","A","2014",0.240991,
"CAN","NODA","TOT","PC_GNI","A","2015",0.279581,
"FRA","NODA","TOT","PC_GNI","A","2000",0.304828,
"FRA","NODA","TOT","PC_GNI","A","2001",0.309425,
"FRA","NODA","TOT","PC_GNI","A","2002",0.374897,
"FRA","NODA","TOT","PC_GNI","A","2003",0.403148,
"FRA","NODA","TOT","PC_GNI","A","2004",0.411528,
"FRA","NODA","TOT","PC_GNI","A","2005",0.47359,
"FRA","NODA","TOT","PC_GNI","A","2006",0.467687,
"FRA","NODA","TOT","PC_GNI","A","2007",0.379578,
"FRA","NODA","TOT","PC_GNI","A","2008",0.385227,
"FRA","NODA","TOT","PC_GNI","A","2009",0.470601,
"FRA","NODA","TOT","PC_GNI","A","2010",0.495449,
"FRA","NODA","TOT","PC_GNI","A","2011",0.45952,
"FRA","NODA","TOT","PC_GNI","A","2012",0.452689,
"FRA","NODA","TOT","PC_GNI","A","2013",0.405845,
"FRA","NODA","TOT","PC_GNI","A","2014",0.368113,
"FRA","NODA","TOT","PC_GNI","A","2015",0.367651,
"DEU","NODA","TOT","PC_GNI","A","2000",0.270087,
"DEU","NODA","TOT","PC_GNI","A","2001",0.271007,
"DEU","NODA","TOT","PC_GNI","A","2002",0.267909,
"DEU","NODA","TOT","PC_GNI","A","2003",0.284017,
"DEU","NODA","TOT","PC_GNI","A","2004",0.276065,
"DEU","NODA","TOT","PC_GNI","A","2005",0.360351,
"DEU","NODA","TOT","PC_GNI","A","2006",0.356039,
"DEU","NODA","TOT","PC_GNI","A","2007",0.366854,
"DEU","NODA","TOT","PC_GNI","A","2008",0.382826,
"DEU","NODA","TOT","PC_GNI","A","2009",0.354919,
"DEU","NODA","TOT","PC_GNI","A","2010",0.386701,
"DEU","NODA","TOT","PC_GNI","A","2011",0.386793,
"DEU","NODA","TOT","PC_GNI","A","2012",0.37176,
"DEU","NODA","TOT","PC_GNI","A","2013",0.380866,
"DEU","NODA","TOT","PC_GNI","A","2014",0.418735,
"DEU","NODA","TOT","PC_GNI","A","2015",0.523176,
"ITA","NODA","TOT","PC_GNI","A","2000",0.12811,
"ITA","NODA","TOT","PC_GNI","A","2001",0.150159,
"ITA","NODA","TOT","PC_GNI","A","2002",0.198566,
"ITA","NODA","TOT","PC_GNI","A","2003",0.167326,
"ITA","NODA","TOT","PC_GNI","A","2004",0.147459,
"ITA","NODA","TOT","PC_GNI","A","2005",0.28997,
"ITA","NODA","TOT","PC_GNI","A","2006",0.19715,
"ITA","NODA","TOT","PC_GNI","A","2007",0.189903,
"ITA","NODA","TOT","PC_GNI","A","2008",0.217673,
"ITA","NODA","TOT","PC_GNI","A","2009",0.158435,
"ITA","NODA","TOT","PC_GNI","A","2010",0.148049,
"ITA","NODA","TOT","PC_GNI","A","2011",0.198201,
"ITA","NODA","TOT","PC_GNI","A","2012",0.136987,
"ITA","NODA","TOT","PC_GNI","A","2013",0.16661,
"ITA","NODA","TOT","PC_GNI","A","2014",0.187219,
"ITA","NODA","TOT","PC_GNI","A","2015",0.220992,
"JPN","NODA","TOT","PC_GNI","A","2000",0.280972,
"JPN","NODA","TOT","PC_GNI","A","2001",0.231959,
"JPN","NODA","TOT","PC_GNI","A","2002",0.228355,
"JPN","NODA","TOT","PC_GNI","A","2003",0.202931,
"JPN","NODA","TOT","PC_GNI","A","2004",0.187485,
"JPN","NODA","TOT","PC_GNI","A","2005",0.280759,
"JPN","NODA","TOT","PC_GNI","A","2006",0.248231,
"JPN","NODA","TOT","PC_GNI","A","2007",0.170144,
"JPN","NODA","TOT","PC_GNI","A","2008",0.190409,
"JPN","NODA","TOT","PC_GNI","A","2009",0.182736,
"JPN","NODA","TOT","PC_GNI","A","2010",0.196432,
"JPN","NODA","TOT","PC_GNI","A","2011",0.182079,
"JPN","NODA","TOT","PC_GNI","A","2012",0.173148,
"JPN","NODA","TOT","PC_GNI","A","2013",0.224857,
"JPN","NODA","TOT","PC_GNI","A","2014",0.19813,
"JPN","NODA","TOT","PC_GNI","A","2015",0.213343,
"GBR","NODA","TOT","PC_GNI","A","2000",0.317486,
"GBR","NODA","TOT","PC_GNI","A","2001",0.319019,
"GBR","NODA","TOT","PC_GNI","A","2002",0.309024,
"GBR","NODA","TOT","PC_GNI","A","2003",0.342276,
"GBR","NODA","TOT","PC_GNI","A","2004",0.362674,
"GBR","NODA","TOT","PC_GNI","A","2005",0.472694,
"GBR","NODA","TOT","PC_GNI","A","2006",0.514082,
"GBR","NODA","TOT","PC_GNI","A","2007",0.355309,
"GBR","NODA","TOT","PC_GNI","A","2008",0.430369,
"GBR","NODA","TOT","PC_GNI","A","2009",0.50755,
"GBR","NODA","TOT","PC_GNI","A","2010",0.572602,
"GBR","NODA","TOT","PC_GNI","A","2011",0.562486,
"GBR","NODA","TOT","PC_GNI","A","2012",0.561921,
"GBR","NODA","TOT","PC_GNI","A","2013",0.704671,
"GBR","NODA","TOT","PC_GNI","A","2014",0.702247,
"GBR","NODA","TOT","PC_GNI","A","2015",0.704448,
"USA","NODA","TOT","PC_GNI","A","2000",0.100266,
"USA","NODA","TOT","PC_GNI","A","2001",0.112506,
"USA","NODA","TOT","PC_GNI","A","2002",0.12669,
"USA","NODA","TOT","PC_GNI","A","2003",0.148618,
"USA","NODA","TOT","PC_GNI","A","2004",0.169052,
"USA","NODA","TOT","PC_GNI","A","2005",0.226033,
"USA","NODA","TOT","PC_GNI","A","2006",0.177468,
"USA","NODA","TOT","PC_GNI","A","2007",0.156453,
"USA","NODA","TOT","PC_GNI","A","2008",0.183458,
"USA","NODA","TOT","PC_GNI","A","2009",0.205776,
"USA","NODA","TOT","PC_GNI","A","2010",0.202632,
"USA","NODA","TOT","PC_GNI","A","2011",0.203574,
"USA","NODA","TOT","PC_GNI","A","2012",0.185609,
"USA","NODA","TOT","PC_GNI","A","2013",0.181737,
"USA","NODA","TOT","PC_GNI","A","2014",0.185688,
"USA","NODA","TOT","PC_GNI","A","2015",0.167526,
"DAC","NODA","TOT","PC_GNI","A","2000",0.22,
"DAC","NODA","TOT","PC_GNI","A","2001",0.21,
"DAC","NODA","TOT","PC_GNI","A","2002",0.23,
"DAC","NODA","TOT","PC_GNI","A","2003",0.24,
"DAC","NODA","TOT","PC_GNI","A","2004",0.25,
"DAC","NODA","TOT","PC_GNI","A","2005",0.32,
"DAC","NODA","TOT","PC_GNI","A","2006",0.3,
"DAC","NODA","TOT","PC_GNI","A","2007",0.27,
"DAC","NODA","TOT","PC_GNI","A","2008",0.3,
"DAC","NODA","TOT","PC_GNI","A","2009",0.31,
"DAC","NODA","TOT","PC_GNI","A","2010",0.31,
"DAC","NODA","TOT","PC_GNI","A","2011",0.31,
"DAC","NODA","TOT","PC_GNI","A","2012",0.28,
"DAC","NODA","TOT","PC_GNI","A","2013",0.3,
"DAC","NODA","TOT","PC_GNI","A","2014",0.3,
"DAC","NODA","TOT","PC_GNI","A","2015",0.3,
