Start,Finish,Conflict,Victorious party,Defeated party
1989,1992,Civil war in Afghanistan (1989–92),Mujahideen,Democratic Republic of Afghanistan
1989,1989,Romanian Revolution of 1989,Romanian Army,"Socialist Republic of Romania, Securitate"
1989,1996,First Liberian Civil War,National Patriotic Front of Liberia,"Armed Forces of Liberia, United Liberation Movement of Liberia for Democracy, United Nations, Independent National Patriotic Front of Liberia"
1989,1996,KDPI insurgency (1989–96),"Iran, Government of Iran",Democratic Party of Iranian Kurdistan
1989,Ongoing,Insurgency in Jammu and Kashmir,India,"Harkat-ul-Jihad al-Islami, Lashkar-e-Taiba, Jaish-e-Mohammed, Hizbul Mujahideen, Harkat-ul-Mujahideen, Al-Badr (India), Jammu Kashmir Liberation Front"
1990,1991,Gulf War,"Kuwait, United States, United Kingdom, Saudi Arabia, France, Italy, Canada, Australia, Egypt, Syria, Qatar, Coalition of the Gulf War","Iraq, Ba'athist Iraq"
1990,Ongoing,DHKP/C insurgency in Turkey,Turkey,Revolutionary People's Liberation Party–Front
1990,1993,Rwandan Civil War,Rwandan Patriotic Front,"Rwanda, Rwandan Defence Forces, France, Zaire, Interahamwe, Impuzamugambi"
1990,1995,Tuareg rebellion (1990–95),"Mali, Niger, Ganda Iso","Arab Islamic Front of Azawad, Popular Movement for the Liberation of Azawad"
1990,1990,1990 Mindanao crisis,Philippines,Federal Republic of Mindanao
1991,1991,Ten-Day War,Slovenia,Socialist Federal Republic of Yugoslavia
1991,1992,1991–92 South Ossetia War,"South Ossetia, North Ossetia-Alania, Russia",Georgia (country)
1991,1994,Djiboutian Civil War,"Djibouti, France",Front for the Restoration of Unity and Democracy
1991,1995,Croatian War of Independence,"Croatia, Bosnia and Herzegovina","Republic of Serbian Krajina, SAO Krajina, Republic of Serbian Krajina, SAO Western Slavonia, Republic of Serbian Krajina, SAO Eastern Slavonia, Baranja and Western Syrmia, Socialist Federal Republic of Yugoslavia, Republic of Serbian Krajina, Republika Srpska"
1991,2002,Sierra Leone Civil War,"Sierra Leone, Sierra Leone, Kamajors, South Africa, Nigeria, Economic Community of West African States Monitoring Group, United Kingdom","Revolutionary United Front, Armed Forces Revolutionary Council, West Side Boys, Liberia"
1991,2002,Algerian Civil War,"Algeria, France",Armed Islamic Group
1991,Ongoing,Somali Civil War,"Puntland, Somali Salvation Democratic Front, Somaliland, Somali National Movement, Somali Patriot Movement, United Somali Congress, United Nations, United Nations Operation in Somalia I, Unified Task Force, United Nations Operation in Somalia II, Somalia, Transitional Federal Government, Ethiopia, African Union Mission to Somalia, Somalia, Alliance for the Restoration of Peace and Counter-Terrorism, Ahlu Sunna Waljama'a, Somalia, Federal Government of Somalia, African Union Mission to Somalia, United States","Somalia, Somali Democratic Republic, Somali National Army, Somali National Front, United Somali Congress, Islamic Courts Union, Oromo Liberation Front, Alliance for the Re-liberation of Somalia, Al-Shabaab (militant group), Ras Kamboni Brigades, Jabhatul Islamiya, Muaskar Anole, Al-Qaeda, Al-Shabaab (militant group), Mujahideen, Hizbul Islam, ISIS"
1991,1993,Georgian Civil War,"Georgia (country), Georgia (country), Russia","Georgia (country), Zviadists, National Guard of Georgia"
1991,1991,1991 uprisings in Iraq,"Iraq, Ba'athist Iraq",Iraqi Kurdistan
1992,1992,East Prigorodny Conflict,"North Ossetia-Alania, North Ossetia–Alania, North Ossetia-Alania, North Ossetia–Alania, South Ossetia, South Ossetia, Don Cossacks, Russia, Terek Cossacks, Russia, Armed Forces of the Russian Federation",Ingush people
1992,1996,Civil war in Afghanistan (1992–96),"Afghanistan, Taliban, Al Qaeda, Pakistan, Saudi Arabia, Hezbi Islami, Pakistan, Hezb-i Wahdat, Iran, Uzbekistan, Junbish-i Milli, Uzbekistan, Russia","Afghanistan, Unit Party, Jamiat-i Islami, Shura-i Nazar, Ittehad-i Islami, Harakat-i Islami, Hezbi Islami, Junbish-i Milli, Hezb-i Wahdat"
1992,1992,War of Transnistria,"Transnistria, Russia, Russia, 14th Army involvement in Transnistria, Ukraine, Don Cossacks","Moldova, Romania"
1992,1993,War in Abkhazia (1992–93),"Abkhazia, Russia, Confederation of Mountain Peoples of the Caucasus, Cossacks",Georgia (country)
1992,1995,Bosnian War,"Bosnia and Herzegovina, Croatia, NATO",Republika Srpska
1992,1994,Croat–Bosniak War,"Bosnia and Herzegovina, Croatian Defence Forces","Croatia, Herzeg Bosnia, Croatia"
1992,1997,Civil war in Tajikistan,"Tajikistan, Russia, Uzbekistan","Taliban, Afghanistan"
1993,2005,Burundian Civil War,"Burundi, Burundi, Military of Burundi, United Nations, United Nations Operation in Burundi, African Union Mission in Burundi","Hutu, National Council for the Defense of Democracy–Forces for the Defense of Democracy, National Forces of Liberation, Tutsi"
1993,Ongoing,Ethnic conflict in Nagaland,"India, India, Nagaland, Myanmar, Burma, Sagaing Region","Chin Kuki Revolutionary Front (page does not exist), Kuki Defence Force (page does not exist), Kuki Independent Army (page does not exist), Kuki International Force (page does not exist), Kangleipak Kanba Kanglup (page does not exist), Kuki Liberation Army (page does not exist), Kuki National Front (page does not exist), National Socialist Council of Nagalim-Khaplang (page does not exist), National Socialist Council of Nagalim-Isak-Muivah (page does not exist), Rengma Naga Hills Protection Force (page does not exist), United Kukigam Defence Army (page does not exist), United Kuki Liberation Front (page does not exist), United Naga People’s Council (page does not exist)"
1993,1993,1993 Russian constitutional crisis,"Russia, President of Russia, Federal Protective Service (Russia), Russian Ministry of Internal Affairs, Ministry of Defence of the Russian Federation, 4th Guards Kantemirovskaya Tank Division, 2nd Guards Tamanskaya Motor Rifle Division, FAPSI, Alpha Group, Vympel","Russia, Supreme Soviet of Russia, Russia, Congress of People's Deputies of Russia, Russia, Vice President of Russia, Russia, Russian Empire, Soviet Union, Russia"
1994,1997,Iraqi Kurdish Civil War,"Patriotic Union of Kurdistan, Iraqi National Congress, Kurdistan Workers Party, Kurdistan Conservative Party, Iran, SCIRI, United States, United States","Kurdistan Democratic Party, Iraq, Ba'athist Iraq, Turkey, Kurdish Democratic Party of Iran, Iran"
1994,Ongoing,Armenian-Azerbaijani border conflict,"Nagorno-Karabakh Republic, Armenia, Russia","Azerbaijan, Turkey"
1994,Ongoing,Chiapas conflict,Mexico,Zapatista Army of National Liberation
1994,1994,Zapatista uprising,"Mexico, Mexico",Zapatista Army of National Liberation
1994,1994,Bophuthatswana conflict (1994),"Bophuthatswana, Afrikaner Volksfront, Afrikaner Weerstandsbeweging","Bophuthatswana, South African Defence Force"
1994,1994,1994 civil war in Yemen,Yemen,"People's Democratic Republic of Yemen, Democratic Republic of Yemen"
1994,1996,First Chechen War,Chechen Republic of Ichkeria,Russia
1994,1999,Caprivi conflict,Namibia,Caprivi Liberation Army
1995,1995,Cenepa War,Peru,Ecuador
1995,Ongoing,Insurgency in Ogaden,Ethiopia,Ogaden National Liberation Front
1995,Ongoing,Second Afar Insurgency,"Ethiopia, Red Sea Afar Democratic Organisation, Democratic Movement for the Liberation of the Eritrean Kunama, Eritrean People's Liberation Front, Eritrean National Salvation Front, Democratic Front for Eritrean Unity","Eritrea, Afar Revolutionary Democratic Unity Front"
1995,1995,Hanish Islands conflict,Eritrea,Yemen
1996,Ongoing,ADF insurgency,"Uganda, Democratic Republic of the Congo","Allied Democratic Forces, National Army for the Liberation of Uganda"
1996,2006,Nepalese Civil War,"Unified Communist Party of Nepal (Maoist), China, Indonesia","Nepal, Kingdom of Nepal, Politics of Nepal, United States, India, United Kingdom, France, Portugal, European Union"
1996,2001,Civil war in Afghanistan (1996–2001),"Afghanistan, Islamic State of Afghanistan, September 11, 2001, United States, United Kingdom, Canada, Australia, Iran, India","Taliban, Islamic Emirate of Afghanistan, Al-Qaeda, Pakistan"
1996,1997,First Congo War,"Democratic Republic of the Congo, Alliance of Democratic Forces for the Liberation of Congo, Uganda, Rwanda, Burundi, Angola","Zaire, UNITA, Rwanda, Army for the Liberation of Rwanda, Interahamwe"
1997,1997,Albanian Rebellion of 1997,"Albania, Germany, Italy",Albania
1997,1999,Republic of the Congo Civil War (1997-99),"Republic of the Congo, Denis Sassou Nguesso, Hutu, Angola","Republic of the Congo, Pascal Lissouba, Ninja (militia)"
1997,1997,1997 clashes in Cambodia,"Cambodia, Hun Sen, Cambodian People's Party, Vietnam","Cambodia, Norodom Ranariddh, FUNCINPEC, Cambodia, Khmer Rouge"
1997,2008,Pool Department insurgency (page does not exist),Republic of the Congo,Ninja (militia)
1998,1998,War in Abkhazia (1998),Abkhazia,"Georgia (country), White Legion, Georgia (country), Forest Brothers (Georgia)"
1998,1999,Kosovo War,"NATO, Albania, Albania, AFRK, Kosovo Liberation Army",Federal Republic of Yugoslavia
1998,2000,Eritrean–Ethiopian War,Ethiopia,Eritrea
1998,2003,Second Congo War,"Democratic Republic of the Congo, Namibia, Zimbabwe, Angola, Chad, Lord's Resistance Army, Sudan, Allied Democratic Forces, Uganda National Rescue Front, Nationalist and Integrationist Front, Democratic Forces for the Liberation of Rwanda, Mai-Mai, Interahamwe, Republican Rally for Democracy in Rwanda, Army for the Liberation of Rwanda, Hutu, National Council for the Defense of Democracy–Forces for the Defense of Democracy, National Liberation Front (Burundi)","Rally for Congolese Democracy, Rally for Congolese Democracy–Goma, Banyamulenge, Movement for the Liberation of Congo, Forces for Renewal, Union of Congolese Patriots, Tutsi, UNITA"
1998,1999,Guinea-Bissau Civil War,"Guinea-Bissau, Rebellion, Ansumane Mané","Guinea-Bissau, Senegal, Guinea"
1998,Ongoing,Al-Qaeda insurgency in Yemen,"Yemeni government, Yemen Army, Yemeni Republican Guard, Yemeni Air Force, Tribe, Houthis, United States, Saudi Arabia, Iran, Morocco, Jordan","Al-Qaeda in the Arabian Peninsula, Ansar al-Sharia, Al-Qaeda in the Arabian Peninsula, Aden-Abyan Islamic Army, Islamic Jihad of Yemen, Al-Shabaab (militant group)"
1999,1999,Kargil War,India,Pakistan
1999,2000,1999 East Timorese crisis,"East Timor, Australia, United Nations","East Timor, Pro-Indonesia militia, Indonesia"
1999,2001,Insurgency in the Preševo Valley,Federal Republic of Yugoslavia,"Liberation Army of Preševo, Medveđa and Bujanovac"
1999,2002,Maluku sectarian conflict,,
1999,2003,Second Liberian Civil War,"Liberians United for Reconciliation and Democracy, Movement for Democracy in Liberia",Liberia
1999,2007,Ituri conflict,"Hema (ethnicity), Union of Congolese Patriots, RCD-Kisangani, Uganda, Democratic Republic of the Congo, United Nations, United Nations Mission in the Democratic Republic of Congo, European Union, Operation Artemis","Lendu, Nationalist and Integrationist Front, Front for Patriotic Resistance in Ituri, Popular Front for Justice in Congo, Mai-Mai"
1999,1999,War of Dagestan,Russia,IIPB
1999,2009,Second Chechen War,"Russia, Chechnya, Republic of Chechnya","Chechen Republic of Ichkeria, Caucasian Front (Chechen War), Arab Mujahideen in Chechnya"
2000,2000,Six-Day War (2000),Rwanda,Uganda
2000,2005,Second Intifada,Israel,"Hamas, Izz ad-Din al-Qassam Brigades, Palestinian National Authority, Fatah, Al-Aqsa Martyrs' Brigades, Tanzim, Popular Front for the Liberation of Palestine, Abu Ali Mustapha Brigades, Democratic Front for the Liberation of Palestine, Popular Resistance Committees, Palestinian Islamic Jihad, Al-Quds Brigades, Palestinian political violence, Ba'athist Iraq"
2001,2001,2001 Bangladeshi-Indian border skirmish,Bangladesh,India
2001,2001,Insurgency in the Republic of Macedonia,Republic of Macedonia,National Liberation Army (Albanians of Macedonia)
2001,Ongoing,War in Afghanistan (2001–present),"International Security Assistance Force, Albania, Armenia, Individual Partnership Action Plan, Australia, NATO, Austria, Partnership for Peace, Azerbaijan, Partnership for Peace, Bahrain, Istanbul Cooperation Initiative, Belgium, Bosnia and Herzegovina, Individual Partnership Action Plan, Bulgaria, Canada, Croatia, Czech Republic, Denmark, El Salvador, Estonia, Finland, Partnership for Peace, France, Georgia (country), Individual Partnership Action Plan, Germany, Greece, Hungary, Iceland, Republic of Ireland, Partnership for Peace, Italy, Jordan, Mediterranean Dialogue, Latvia, Lithuania, Luxembourg, Malaysia, Mongolia, NATO, Montenegro, Partnership for Peace, Netherlands, New Zealand, NATO, Norway, Poland, Portugal, Republic of Macedonia, Membership Action Plan, Romania, Singapore, Slovakia, Slovenia, South Korea, NATO, Spain, Sweden, Partnership for Peace, Switzerland, Partnership for Peace, Tonga, Turkey, Ukraine, Partnership for Peace, United Arab Emirates, Istanbul Cooperation Initiative, United Kingdom, United States, Afghanistan, Politics of Afghanistan, Resolute Support Mission, Australia, Czech Republic, Georgia (country), Individual Partnership Action Plan, Germany, Italy, Romania, Spain, Turkey, United Kingdom, United States","Afghanistan, Taliban, Al-Qaeda, Haqqani network, Hezb-e-Islami Gulbuddin, United Tajik Opposition, Islamic Movement of Uzbekistan, Mujahideen"
2002,2002,Perejil Island crisis,Spain,Morocco
2002,Ongoing,Operation Enduring Freedom – Philippines,"Government of the Philippines, United States, United States Armed Forces","Moro insurgency in the Philippines, Moro Islamic Liberation Front, Abu Sayyaf, Jemaah Islamiyah, CPP-NPA-NDF rebellion, New People's Army, Communist Party of the Philippines"
2002,Ongoing,Operation Enduring Freedom – Horn of Africa,"NATO, Belgium, Canada, Denmark, France, Germany, Greece, Italy, Netherlands, Portugal, Spain, Turkey, United Kingdom, United States, CJTF-HOA, Djibouti, Somalia, Ethiopia, Sudan, Seychelles, Kenya, Australia, Azerbaijan, China, European Union, India, Indonesia, Japan, Kazakhstan, Kyrgyzstan, Malaysia, New Zealand, Pakistan, Russia, Singapore, South Korea, Tajikistan, Thailand, Turkmenistan, Uganda, Ukraine, Uzbekistan","Insurgents, Al-Itihaad al-Islamiya, Islamic Courts Union, Harakat al-Shabaab Mujahedeen, Hizbul Islam, Alliance for the Re-liberation of Somalia, Ras Kamboni Brigades, Jabhatul Islamiya, Mu'askar Anole, Al-Qaeda, Piracy in Somalia"
2002,2007,First Ivorian Civil War,"Ivory Coast, Liberia, Mercenaries, Ivory Coast, Young Patriots of Abidjan, Russia, Bulgaria, Belarus","Forces Nouvelles de Côte d'Ivoire, France, United Nations"
2002,Ongoing,Taliban insurgency,"Afghanistan, Politics of Afghanistan, Afghan National Security Forces, Jamiat-e Islami, National Islamic Movement of Afghanistan, Hezbe Wahdat, India, Resolute Support Mission, Australia, Croatia, Czech Republic, Georgia (country), Individual Partnership Action Plan, Germany, Italy, Romania, Spain, Turkey, United Kingdom, United States, International Security Assistance Force, Albania, Armenia, Individual Partnership Action Plan, Australia, NATO, Austria, Partnership for Peace, Azerbaijan, Partnership for Peace, Bahrain, Istanbul Cooperation Initiative, Belgium, Bosnia and Herzegovina, Individual Partnership Action Plan, Bulgaria, Canada, Croatia, Czech Republic, Denmark, El Salvador, Estonia, Finland, Partnership for Peace, France, Georgia (country), Individual Partnership Action Plan, Germany, Greece, Hungary, Iceland, Republic of Ireland, Partnership for Peace, Italy, Jordan, Mediterranean Dialogue, Latvia, Lithuania, Luxembourg, Malaysia, Mongolia, NATO, Montenegro, Partnership for Peace, Netherlands, New Zealand, NATO, Norway, Poland, Portugal, Republic of Macedonia, Membership Action Plan, Romania, Singapore, Slovakia, Slovenia, South Korea, NATO, Spain, Sweden, Partnership for Peace, Switzerland, Partnership for Peace, Tonga, Turkey, Ukraine, Partnership for Peace, United Arab Emirates, Istanbul Cooperation Initiative, United Kingdom, United States","Afghanistan, Taliban, Haqqani network, Pakistan, Inter-Services Intelligence, Iran, Hezb-e-Islami Gulbuddin, Al-Qaeda, Islamic Jihad Union, Dadullah Front, Fidai Mahaz"
2003,Ongoing,War in Darfur,"National Redemption Front, Sudan Liberation Army, Liberation and Justice Movement, Justice and Equality Movement, United States, Eritrea, Chad","Sudan, Sudan, Sudanese Armed Forces, Rapid Support Forces, Janjaweed, Russia"
2003,2011,Iraq War,"United States, United Kingdom, Iraq, Iraqi National Congress, Iraq, Iraqi Army, Kurdistan Democratic Party, Patriotic Union of Kurdistan, Australia, Poland, South Korea, Ukraine, Italy, Georgia (country), Spain, Denmark, Netherlands","Iraq, Ba'athist Iraq, Ba'ath Party (Iraqi-led faction), Supreme Command for Jihad and Liberation, Army of the Men of the Naqshbandi Order, Islamic State of Iraq, Al-Qaeda in Iraq, Mahdi Army, Special Groups (Iraq), Badr Organization"
2003,2006,Iraqi insurgency (2003–06),,
2003,Ongoing,Balochistan conflict,"Pakistan, Pakistan Army, Frontier Corps, Iran, Military history of Iran, Iranian Revolutionary Guards, Islamic Republic of Iran Border Guard Command","Baloch nationalism, Balochistan Liberation Army, Baloch Republican Army, Baloch Liberation Front, Lashkar-e-Balochistan, Balochistan Liberation United Front, Baloch Students Organization, Iraq, Jundallah (Iran), Jaish ul-Adl, Jundallah (Pakistan), Lashkar-e-Jhangvi, Sipah-e-Sahaba Pakistan"
2004,Ongoing,War in North-West Pakistan,"Pakistan, War in North-West Pakistan order of battle, Pakistan Armed Forces, Inter-Services Intelligence, Frontier Constabulary, United States, CIA, National Clandestine Service, United States Special Operations Command, United States Air Force","Tehrik-i-Taliban Pakistan, Al-Qaeda, Lashkar-e-Jhangvi, Lashkar-e-Islam, Tehreek-e-Nafaz-e-Shariat-e-Mohammadi, East Turkestan Islamic Movement, Islamic Movement of Uzbekistan, Islamic State of Iraq and the Levant, Jundallah (Pakistan), Islamic Movement of Uzbekistan"
2004,2005,Kondovo Crisis,,
2004,2007,Central African Republic Bush War,"Central African Republic, Chad, United Nations, United Nations Mission in the Central African Republic and Chad, MICOPAX, Economic Community of Central African States","Union of Democratic Forces for Unity, People's Army for the Restoration of Democracy (CAR), CPJP, FDPC, MLCJ"
2004,Ongoing,Conflict in the Niger Delta,"Government of Nigeria, Nigerian Armed Forces","Movement for the Emancipation of the Niger Delta, Niger Delta People's Volunteer Force, Niger Delta Liberation Front, Joint Revolutionary Council (page does not exist), Niger Delta Vigilante"
2004,2015,Houthi insurgency in Yemen,Houthis,"Yemen, Saudi Arabia, Jordan"
2004,Ongoing,Kivu conflict,,
2004,Ongoing,Sistan and Baluchestan insurgency,,
2005,Ongoing,Paraguayan People's Army insurgency,,
2005,2010,Chadian Civil War (2005–10),Chad,"United Front for Democratic Change, Union of Forces for Democracy, Gathering of Forces for Change, Janjaweed"
2005,2008,Mount Elgon insurgency,Kenya,Sabaot Land Defence Force
2006,2011,Fatah–Hamas conflict,"Hamas, Wikipedia:Citation needed, Wikipedia:Disputed statement, Talk:List of wars 2003–10","Palestinian National Authority, Fatah"
2006,2006,2006 Lebanon War,Israel,Hezbollah
2006,2007,Sectarian violence in Iraq (2006–07),,
2006,Ongoing,Mexican Drug War,"United Mexican States, Mexican Armed Forces, Federal Police (Mexico), Center for Research and National Security, Policía Federal Ministerial, United States, United States Marshals Service, Grupos de Autodefensa Comunitaria","Sinaloa Cartel, Gulf Cartel, Los Ántrax, Knights Templar Cartel, MS-13, FARC, Los Zetas, Juárez Cartel, Tijuana Cartel, Beltrán-Leyva Cartel, La Familia Michoacana"
2006,2009,War in Somalia (2006–09),"Ethiopia, Somalia, Transitional Federal Government, Puntland, Somalia, Galmudug, Somalia, United States, United Kingdom, AMISOM, Uganda, Burundi, Kenya, Alliance for the Re-liberation of Somalia, Al-Shabaab (Somalia), Ras Kamboni Brigades, Jabhatul Islamiya, Muaskar Anole, Eritrea","Islamic Courts Union, Ethiopia, Somalia, Transitional Federal Government, Somalia"
2007,Ongoing,Operation Enduring Freedom – Trans Sahara,"Algeria, Morocco, Mauritania, Mauritania, Tunisia, Tunisia, Burkina Faso, Burkina Faso, Chad, Mali, Niger, Nigeria, Nigeria, Senegal, United States, United States, Canada, Canada, France, France, Germany, Germany, Netherlands, Netherlands, Spain, Spain, United Kingdom","Al-Qaeda in the Islamic Maghreb, Ansar Dine, Boko Haram, Movement for Oneness and Jihad in West Africa"
2007,2009,Tuareg rebellion (2007–09),"Niger, Mali","Niger Movement for Justice, May 23, 2006 Democratic Alliance for Change"
2007,2015,War in Ingushetia,"Russia, Russian Federation, Ingushetia, Ingushetia","Caucasus Emirate, Vilayat Galgaycho, Ingushetia"
2008,2008,2008 invasion of Anjouan,"Comoros, African Union, Sudan, Tanzania, Senegal, History of Libya under Muammar Gaddafi, France",Anjouan
2008,2012,Cambodian–Thai border dispute,Thailand,Cambodia
2008,2008,Djiboutian–Eritrean border conflict,Djibouti,Eritrea
2008,2008,Russo-Georgian war,"Russia, South Ossetia, Abkhazia",Georgia (country)
2008,2009,Gaza War (2008–09),Israel,Hamas
2009,Ongoing,Sudanese nomadic conflicts,,
2009,2009,2009 Vancouver gang war,,
2009,Ongoing,Insurgency in the North Caucasus,Russia,Caucasus Emirate
2009,Ongoing,Boko Haram insurgency,"Nigeria, Cameroon, Chad, Niger, Multinational Joint Task Force, United States, Benin, African Union, United Kingdom, France, China, Canada, Iran, Israel","Islamic State of Iraq and the Levant, Boko Haram, Ansaru"
2009,2009,2009 Boko Haram uprising,Nigeria,Boko Haram
2009,Ongoing,South Yemen insurgency,"Yemeni government, Yemen Army, Yemeni Republican Guard, Yemeni Air Force, Tribe","People's Democratic Republic of Yemen, Southern Movement"
2009,Ongoing,War in Somalia (2009–present),"Somalia, Federal Government of Somalia, Military of Somalia, Jubaland, Raskamboni movement, Ahlu Sunna Waljama'a, Puntland, Puntland Security Force, Galmudug, Somalia, Himan and Heeb, Southwestern Somalia, AMISOM, United States, European Union, NATO, Wikipedia:Citation needed, United Kingdom, Wikipedia:Citation needed, France, Wikipedia:Citation needed","Al-Qaeda, Al-Shabaab (militant group), Mujahideen, Hizbul Islam"
2010,2010,2010 South Kyrgyzstan ethnic clashes,Kyrgyzstan,"Kyrgyz people, Uzbeks"
2010,2010,2010 Kingston unrest,Jamaica,Shower Posse
2010,2012,Tajikistan insurgency,"Tajikistan, Tajik army","United Tajik Opposition, Islamic Movement of Uzbekistan"
2010,2011,2010–2011 Ivorian crisis,"Ivory Coast, Forces Nouvelles de Côte d'Ivoire, Ivory Coast, Rally of the Republicans, United Nations, United Nations Operation in Côte d'Ivoire, France","Ivory Coast, National Armed Forces of Côte d'Ivoire, Mercenaries, Young Patriots of Abidjan, Ivorian Popular Front"
2011,2011,Libyan Civil War (2011),"Libya, National Transitional Council, NATO, Bulgaria, Belgium, Canada, Denmark, France, Greece, Italy, Netherlands, Norway, Romania, Spain, Turkey, United Kingdom, United States, Jordan, Qatar, Sweden, United Arab Emirates","History of Libya under Muammar Gaddafi#Great Socialist People's Libyan Arab Jamahiriya (1977–2011), History of Libya under Muammar Gaddafi"
2011,Ongoing,Sinai insurgency,"Egypt, Egyptian Armed Forces, Central Security Forces, Egyptian Homeland Security, Law enforcement in Egypt, Tarabin bedouin, Multinational Force and Observers, 2011 southern Israel cross-border attacks, Israel","Islamism, Ansar Bait al-Maqdis, Bedouin, Jund al Islam (page does not exist), Jama’at al-Tawhid wal-Jihad (page does not exist), Ansar al-Sharia (Egypt), Mujahideen Shura Council in the Environs of Jerusalem, Islamic State of Iraq and the Levant, Islamic State of Iraq and the Levant, Islamic State of Iraq and the Levant – Sinai Province"
2011,Ongoing,Syrian Civil War,,
2011,Ongoing,Sudanese conflict in South Kordofan and Blue Nile,"Sudan, Sudan, Sudanese Armed Forces, Rapid Support Forces","Sudan Revolutionary Front, Sudan People's Liberation Movement-North, Sudan Liberation Army, Justice and Equality Movement, Ethiopia, South Sudan"
2011,Ongoing,Syrian Civil War spillover in Lebanon,,
2011,Ongoing,Ethnic violence in South Sudan (2011–present),,
2011,2012,Operation Linda Nchi,"Kenya, Somalia, Transitional Federal Government, Ras Kamboni Movement, Ethiopia, Ahlu Sunna Waljama'a, Jubaland",Al-Shabaab (militant group)
2011,2014,Factional violence in Libya (2011–14),,
2011,2014,Iraqi insurgency (2011–14),,
2012,2015,Northern Mali conflict,,
2012,2012,Heglig Crisis,"Sudan, Sudan","South Sudan, South Sudan"
2012,2013,M23 rebellion,"Democratic Republic of the Congo, South Africa, Tanzania, Malawi","Democratic Republic of the Congo, M23 (militia)"
2012,Ongoing,Central African Republic conflict (2012–present),,
2013,Ongoing,South Sudanese Civil War,,
2013,Ongoing,RENAMO insurgency (2013–present),Mozambique,RENAMO
2014,Ongoing,Iraqi Civil War (2014–present),,
2014,Ongoing,Libyan Civil War (2014–present),,
2014,Ongoing,War in Donbass,,
2014,2014,2014 Israel–Gaza conflict,,
2014,Ongoing,Military intervention against ISIL,,
2015,Ongoing,Yemeni Civil War (2015),,
2015,Ongoing,Conflict in Najran,,
2015,Ongoing,ISIL insurgency in Tunisia,,
2015,Ongoing,Kurdish–Turkish conflict (2015–present),,
2016,Ongoing,2016 Niger Delta conflict,,
2016,2016,2016 Armenian–Azerbaijani clashes,Azerbaijan,"Nagorno-Karabakh Republic, Armenia"
2016,2016,2016 Kasese clashes,"Uganda, Uganda People's Defence Force, Uganda National Police","Kingdom of Rwenzururu, Royal Guard"
2016,Ongoing,Kasaï-Central clashes (2016–present),,